tray,specimen_id,country,stateProvince,county,municipality,verbatimLocality,locality,waterBody,islandGroup,island,verbatimElevation,habitat,samplingProtocol,collector,verbatimEventDate,identifiedBy,verbatimCoordinates
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_001,Senegal,,,,Rep. of Senegal,,,,,,,,D. Harvey,,Kippenhan,
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_002,Kenya,,Kilifi,,"KENYA: Malindi Dst., Arabuko Swamp",Arabuko Swamp,,,,,,sweeping,Mungai Lenge & Karanja,VIII-24-2000,Kippenhan,
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_003,Kenya,,Kilifi,,"KENYA: Malindi Dst., Arabuko-Sokoke Forest, Mambuari",Arabuko-Sokoke Forest,,,,,,pitfall trap,Mungai Lenge & Karanja,"VIII, 17-19, 2000",Kippenhan,
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_004,,,,,D.O. Africa,,,,,,,,Lange,,Kippenhan,
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_005,South Africa,,,,Durban,Durban,,,,,,,,,,
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_006,Tanzania,,,,Usambara,Usambara Mountains,,,,,,,,,,
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_007,,,,,,,,,,,,,,,,
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_008,,,,,,,,,,,,,,,,
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_009,South Africa,Kwazulu-Natal,,Saint Lucia,,"Gwalagwala Trail, 10m",,,,,coastal forest with many lianas,,Solodovnikov,20.ii.2004,,"28°23.1'S, 32°24.4'E"
cicindelidae_34_6_8_tray_09,cicindelidae_34_6_8_tray_09_spec_010,South Africa,Kwazulu-Natal,,Saint Lucia,,"Gwalagwala Trail, 10m",,,,,coastal forest with many lianas,,Solodovnikov,20.ii.2004,,"28°23.1'S, 32°24.4'E"
